Starting job 16490075 on c5-60 on Saga at Wed Dec 24 13:13:30 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
8800        |       -57113.8   |       -56511.4   |       -602.323   |   01:47:17   |   160:45:44   |
8850        |       -57113.6   |       -56514.9   |       -598.633   |   01:47:53   |   160:44:16   |
8900        |       -57110.3   |       -56511.8   |       -598.571   |   01:48:29   |   160:42:49   |
8950        |       -57104.6   |       -56503.6   |       -600.979   |   01:49:06   |   160:42:51   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
9000        |       -57114.4   |       -56516.8   |       -597.627   |   01:49:43   |   160:42:52   |
9050        |       -57116.2   |       -56511.4   |         -604.8   |   01:50:19   |   160:41:25   |
9100        |       -57119.1   |       -56505.7   |       -613.424   |   01:50:55   |   160:39:59   |
9150        |       -57114.1   |         -56513   |       -601.065   |   01:51:32   |   160:40:00   |
9200        |       -57105.7   |       -56494.6   |       -611.143   |   01:52:11   |   160:42:53   |
9250        |       -57119.7   |       -56513.2   |        -606.54   |   01:52:49   |   160:44:18   |
9300        |       -57110.7   |       -56506.5   |       -604.208   |   01:53:25   |   160:42:51   |
9350        |       -57110.8   |       -56504.7   |       -606.196   |   01:54:04   |   160:45:38   |
9400        |       -57108.9   |       -56503.6   |       -605.286   |   01:54:42   |   160:47:00   |
9450        |       -57105.1   |       -56494.6   |       -610.496   |   01:55:18   |   160:45:32   |
9500        |       -57108.1   |       -56500.9   |       -607.205   |   01:55:55   |   160:45:29   |
9550        |       -57115.2   |         -56501   |       -614.168   |   01:56:31   |   160:44:02   |
9600        |       -57112.7   |       -56500.4   |       -612.319   |   01:57:07   |   160:42:36   |
9650        |       -57098.5   |       -56491.5   |       -607.073   |   01:57:42   |   160:39:48   |
9700        |       -57108.4   |       -56501.6   |       -606.755   |   01:58:17   |   160:37:02   |
9750        |       -57098.1   |       -56493.4   |       -604.711   |   01:58:53   |   160:35:38   |
9800        |       -57109.6   |       -56504.3   |       -605.254   |   01:59:30   |   160:35:36   |
9850        |       -57103.5   |       -56496.7   |       -606.841   |   02:00:07   |   160:35:33   |
9900        |       -57103.3   |       -56497.5   |       -605.773   |   02:00:43   |   160:34:09   |
9950        |       -57095.1   |       -56497.6   |       -597.515   |   02:01:19   |   160:32:47   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
10000       |       -57109.8   |       -56507.8   |       -602.003   |   02:01:56   |   160:32:44   |
10050       |       -57103.1   |       -56502.3   |       -600.835   |   02:02:33   |   160:32:40   |
10100       |       -57116.8   |       -56526.5   |       -590.228   |   02:03:13   |   160:36:31   |
10150       |         -57119   |       -56528.6   |       -590.347   |   02:03:51   |   160:37:43   |
10200       |       -57109.4   |       -56512.9   |       -596.547   |   02:04:28   |   160:37:37   |
10250       |       -57109.9   |       -56510.8   |       -599.152   |   02:05:06   |   160:38:48   |
10300       |       -57112.1   |       -56513.5   |       -598.615   |   02:05:42   |   160:37:24   |
10350       |       -57109.4   |       -56513.2   |       -596.204   |   02:06:18   |   160:36:01   |
10400       |       -57116.1   |       -56517.6   |       -598.461   |   02:06:54   |   160:34:38   |
10450       |       -57125.9   |       -56520.1   |        -605.75   |   02:07:30   |   160:33:15   |
10500       |       -57107.2   |       -56511.2   |       -595.999   |   02:08:06   |   160:31:54   |
10550       |         -57113   |       -56520.3   |       -592.669   |   02:08:43   |   160:31:47   |
10600       |       -57114.1   |       -56524.2   |       -589.908   |   02:09:21   |   160:32:54   |
10650       |         -57125   |       -56533.4   |       -591.682   |   02:09:57   |   160:31:33   |
10700       |         -57109   |       -56517.2   |       -591.871   |   02:10:35   |   160:32:39   |
10750       |       -57099.5   |       -56500.7   |       -598.794   |   02:11:12   |   160:32:31   |
10800       |       -57109.4   |       -56519.3   |       -590.022   |   02:11:48   |   160:31:09   |
10850       |       -57116.7   |       -56523.1   |       -593.666   |   02:12:25   |   160:31:01   |
10900       |       -57109.7   |       -56508.9   |       -600.778   |   02:13:02   |   160:30:52   |
10950       |       -57109.6   |       -56518.5   |       -591.087   |   02:13:39   |   160:30:44   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
11000       |       -57110.7   |         -56515   |       -595.766   |   02:14:15   |   160:29:23   |
11050       |       -57107.8   |       -56507.5   |       -600.263   |   02:14:52   |   160:29:14   |
11100       |       -57107.3   |       -56499.8   |       -607.596   |   02:15:29   |   160:29:04   |
11150       |       -57120.6   |       -56517.9   |       -602.624   |   02:16:07   |   160:30:06   |
11200       |         -57103   |       -56501.5   |       -601.536   |   02:16:44   |   160:29:56   |
