Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate[4]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	part_rate_mult[4]	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	TL
1750	-42199.08	-42147.17	-51.90724	7.74661e+07	8.73133e+07	9.10302e+07	8.38603e+07	0.0439353	0.0470347	0.0720834	0.245546	0.0538161	0.0359295	0.0410991	0.0457331	0.0655122	0.00470668	0.0525268	0.029668	0.0454127	0.488959	0.455312	0.142794	2.70553	0.0808295	0.126681	0.0397295	0.752759	0.704543	0.729235	0.854983	0.0931481	0.7830042
1800	-42197	-42144.39	-52.61577	5.83702e+07	5.69281e+07	2.92808e+07	7.98584e+07	0.0415151	0.047423	0.0641962	0.242769	0.0444514	0.037842	0.0448052	0.0520355	0.0759135	0.00727892	0.0480491	0.0263807	0.0478925	0.565377	0.413093	0.124784	2.72035	0.093462	0.114935	0.0347186	0.756884	0.70934	0.739039	0.831346	0.088435	0.780552
1850	-42204.11	-42152.46	-51.64795	5.12431e+07	2.74997e+07	4.44246e+07	4.13655e+06	0.0487124	0.0438703	0.0693309	0.247872	0.0397775	0.0387717	0.0394969	0.0512457	0.0753928	0.00972229	0.0506552	0.0345061	0.0500603	0.513916	0.429969	0.150649	2.70819	0.0849551	0.11963	0.0419151	0.753499	0.736853	0.728012	0.876248	0.0740763	0.7994143
1900	-42201.32	-42149.9	-51.41674	8.4556e+06	4.33214e+07	5.06634e+07	5.19971e+07	0.0465035	0.0529609	0.0631402	0.25999	0.0444578	0.0385795	0.0370398	0.0464086	0.0750137	0.00594289	0.0442504	0.0282583	0.0501802	0.547973	0.456985	0.137088	2.6745	0.090585	0.127147	0.0381421	0.744126	0.714208	0.751178	0.882257	0.0870157	0.792726
1950	-42202.5	-42152.58	-49.9285	6.80952e+07	7.69535e+07	9.24347e+07	3.19563e+06	0.0483834	0.0513046	0.0706004	0.231782	0.0480919	0.0374475	0.0375416	0.0447427	0.057998	0.00948187	0.0524095	0.0304914	0.0423372	0.558771	0.504473	0.142084	2.6156	0.0923701	0.14036	0.0395319	0.727738	0.731099	0.723183	0.88107	0.0835351	0.7626122
2000	-42191.08	-42140.62	-50.46101	8.15611e+07	5.70032e+07	3.46047e+07	3.00374e+07	0.0409891	0.0474448	0.0639001	0.241784	0.0484445	0.0368943	0.0409976	0.0531382	0.0784281	0.0100204	0.0438109	0.0325876	0.0436064	0.524521	0.481502	0.150736	2.65027	0.0867082	0.133968	0.0419394	0.737384	0.708451	0.739012	0.867911	0.0714349	0.7820466
2050	-42191.51	-42139.79	-51.72268	7.23237e+07	1.04017e+07	8.28424e+07	9.83413e+07	0.0460235	0.0516318	0.0713055	0.247606	0.0436218	0.0390092	0.0415064	0.0482697	0.0718613	0.00701062	0.0513871	0.0303932	0.0450884	0.552738	0.478544	0.12637	2.66083	0.0913726	0.133146	0.0351598	0.740322	0.699463	0.731798	0.875155	0.075935	0.7947146
2100	-42207.07	-42156.65	-50.42324	9.90681e+07	8.1942e+07	4.73064e+06	3.38582e+07	0.0437832	0.0427741	0.0656459	0.233987	0.0552155	0.0322505	0.0406529	0.0498491	0.068525	0.0115123	0.0496002	0.0294552	0.0383068	0.557709	0.435959	0.152302	2.67452	0.0921945	0.121297	0.0423749	0.744134	0.700502	0.75442	0.86713	0.0805379	0.7615581
2150	-42208.13	-42156.42	-51.71186	4.9575e+07	3.11512e+07	6.16427e+07	5.1711e+07	0.0490243	0.044003	0.0641803	0.268617	0.0498889	0.0333966	0.0407025	0.0521821	0.0723312	0.0101498	0.047799	0.0289951	0.0468726	0.546135	0.414136	0.147577	2.70795	0.0902811	0.115225	0.0410603	0.753433	0.720899	0.737893	0.866605	0.0987749	0.8081419
2200	-42196.96	-42145.01	-51.94931	2.09658e+07	5.67077e+07	1.96109e+07	5.19504e+07	0.0417487	0.0451395	0.0699943	0.264077	0.0473053	0.0396605	0.04606	0.0554149	0.0722938	0.00691328	0.0558033	0.0330806	0.0457155	0.552146	0.444996	0.135672	2.68542	0.0912749	0.123811	0.037748	0.747166	0.705623	0.725686	0.872878	0.0933034	0.8232063
