Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
620	-51637.78	-50996.78	-640.994	0.145919	0.240745	0.203226	3.06795	2.297856	0.02087272	0.01273051	-0.01180502	0.2931304	2	56.66919	0.28678	0.51097	0.827997	0.0577193	0.02756933	0.326414	0.68336	1.07592	1.9143	0.2813254	1.041962
630	-51642.85	-51002.98	-639.8652	0.134366	0.2247	0.209267	3.13646	1.854635	0.0250244	0.01313171	0.03791499	0.2359156	2	59.29814	0.284755	0.524377	0.824859	0.0581052	0.02576094	0.275282	0.638609	1.06589	2.02022	0.2738305	0.8615385
640	-51649.49	-50996.67	-652.8223	0.13634	0.227058	0.221209	3.83444	1.943175	0.02112898	0.01308881	0.02883254	0.1648003	1	62.04304	0.310354	0.546669	0.847051	0.0610809	0.03798305	0.286396	0.648832	1.0685	1.99627	0.1936328	0.8510968
650	-51643.02	-50997.88	-645.1393	0.135596	0.266721	0.206758	3.5201	2.078764	0.02092061	0.01313057	0.03608441	0.227041	1	61.36318	0.330262	0.561795	0.833424	0.0539724	0.03208878	0.302499	0.663136	1.07184	1.96252	0.2631254	0.8628623
660	-51629.59	-50986.49	-643.0981	0.119006	0.247785	0.192971	3.06371	2.055396	0.02193394	0.01401227	-0.00652876	0.3855379	0	60.15204	0.250769	0.544886	0.826119	0.0727826	0.02053521	0.299799	0.660778	1.07132	1.96811	0.3790091	1.017226
670	-51646.66	-51006.48	-640.1776	0.121381	0.275005	0.182556	2.75313	1.322388	0.01961006	0.01332862	0.02139198	0.3227632	1	57.48007	0.303354	0.541352	0.834175	0.0454513	0.029802	0.196536	0.55605	1.03803	2.20938	0.3441552	0.9378421
680	-51617.62	-50980.93	-636.6908	0.133783	0.215984	0.211351	2.85161	2.159817	0.02109605	0.01391702	0.004744253	0.295248	1	62.81751	0.316357	0.542927	0.834388	0.0666434	0.02752984	0.311634	0.670999	1.07352	1.94385	0.2999923	0.9841854
690	-51621.32	-50984.53	-636.7898	0.128051	0.262276	0.202332	2.84342	2.197014	0.02345233	0.0133004	0.000695817	0.311902	1	60.04833	0.336331	0.528475	0.853542	0.0541506	0.02733328	0.31571	0.674452	1.07422	1.93562	0.3125978	0.9977741
700	-51608.35	-50972.02	-636.3315	0.134659	0.237546	0.208372	2.70119	1.932529	0.02248834	0.01403106	-0.01344008	0.3029966	1	60.68254	0.31829	0.543723	0.831716	0.0403919	0.02990257	0.285085	0.647642	1.06821	1.99907	0.2895565	1.046416
710	-51611.02	-50975.46	-635.5564	0.154274	0.230986	0.207737	2.96141	1.888845	0.02311353	0.0137929	-0.01759088	0.3895675	1	60.01686	0.342688	0.509031	0.850492	0.0610702	0.01677126	0.279635	0.642648	1.06694	2.01078	0.3719766	1.04729
720	-51623.53	-50984.18	-639.3449	0.165716	0.191378	0.202884	3.4911	2.105895	0.02194526	0.01366245	0.01245638	0.331851	1	63.68312	0.399036	0.45537	0.843851	0.0718843	0.01840354	0.305596	0.665822	1.07243	1.95616	0.3443073	0.9638219
730	-51631.5	-50986.26	-645.2411	0.142344	0.142217	0.221044	4.93553	1.826097	0.02050558	0.01280641	-0.02275008	0.3543816	1	56.06117	0.388916	0.390596	0.832396	0.0720043	0.01729404	0.271593	0.635148	1.06496	2.0283	0.3316315	1.0686
740	-51620.56	-50971.27	-649.2921	0.133166	0.136518	0.211026	5.21929	2.072212	0.02190935	0.0129923	0.001841692	0.3861703	1	63.94725	0.282363	0.337821	0.832764	0.0629772	0.0246773	0.301745	0.662479	1.0717	1.96408	0.388012	0.9952535
750	-51623.93	-50979.57	-644.3549	0.136929	0.201123	0.194789	5.159	1.708482	0.02123111	0.01238367	0.02682606	0.322456	1	59.40044	0.346016	0.475473	0.839713	0.0716348	0.02084687	0.255808	0.619942	1.06063	2.06362	0.349282	0.9231966
760	-51622.76	-50969	-653.761	0.139163	0.161014	0.222009	4.89686	1.709557	0.02147003	0.01274751	0.04599118	0.3466096	1	56.03418	0.291831	0.419074	0.842182	0.0560206	0.02452189	0.255956	0.620088	1.06068	2.06328	0.3926008	0.8828551
770	-51624.32	-50979.21	-645.1041	0.118073	0.172488	0.203325	3.62945	1.936534	0.0218488	0.01355808	-0.03034605	0.4374436	1	55.02913	0.277666	0.459522	0.834944	0.0599995	0.01754095	0.285579	0.648091	1.06832	1.99801	0.4070975	1.074542
780	-51615.69	-50978.19	-637.504	0.122721	0.134402	0.207787	3.4015	1.778615	0.02358664	0.01364477	-0.004838066	0.4396745	1	59.9534	0.319052	0.392117	0.852477	0.0497937	0.023707	0.265335	0.629199	1.06332	2.04215	0.4348364	1.011126
790	-51625.8	-50984.97	-640.8335	0.130148	0.144144	0.212733	3.70165	2.347418	0.02101577	0.01368867	0.02680129	0.3517984	1	60.42192	0.363259	0.415114	0.841035	0.0705986	0.02583864	0.331496	0.687511	1.07667	1.90432	0.3785997	0.9292094
800	-51615.15	-50976.92	-638.2335	0.143188	0.138696	0.211828	2.9987	2.117036	0.02126653	0.01458201	-0.003859589	0.3237329	1	58.88389	0.361029	0.394089	0.82606	0.0623914	0.02627476	0.306856	0.666909	1.07266	1.95358	0.3198733	1.012066
810	-51619.78	-50981.01	-638.7701	0.163983	0.129209	0.201784	3.34491	1.946608	0.02229707	0.01445261	0.01560843	0.3180197	1	57.6121	0.379075	0.342479	0.845905	0.0505124	0.02948195	0.286817	0.649213	1.06859	1.99538	0.3336282	0.9532161
820	-51611.56	-50976.44	-635.1217	0.132915	0.110898	0.207855	2.49571	2.029253	0.02166646	0.01536707	0.01292268	0.2718875	1	55.17929	0.334396	0.326307	0.846827	0.035688	0.02789403	0.296742	0.658089	1.0707	1.97446	0.2848102	0.954627
