Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
1540	-7539.038	-7444.561	-94.47707	1.969123	0.289561	0.65169	1.0692	1.98955	14.81305
1550	-7526.521	-7432.141	-94.38027	1.806522	0.269032	0.632725	1.0643	2.03394	14.81963
1560	-7544.025	-7439.828	-104.1972	1.879377	0.278438	0.641542	1.06666	2.01336	15.79404
1570	-7535.989	-7432.357	-103.6315	2.02794	0.296587	0.657952	1.07067	1.97479	15.72262
1580	-7539.718	-7449.87	-89.8477	2.062177	0.300586	0.661467	1.07147	1.96648	14.34081
1590	-7537.748	-7441.178	-96.57059	1.762077	0.26312	0.627068	1.06271	2.0471	15.04311
1600	-7536.055	-7441.17	-94.88522	2.048641	0.299013	0.660088	1.07116	1.96974	14.84592
1610	-7523.319	-7425.609	-97.71036	2.07237	0.301763	0.662495	1.0717	1.96404	15.12606
1620	-7537.617	-7436.476	-101.1402	1.745504	0.26088	0.624901	1.06209	2.05213	15.50173
1630	-7542.789	-7449.512	-93.27691	2.474335	0.34401	0.697529	1.07833	1.88013	14.64252
1640	-7527.204	-7437.824	-89.37971	2.11987	0.307176	0.667184	1.07272	1.95292	14.28824
1650	-7513.163	-7430.256	-82.90667	2.182525	0.314131	0.673118	1.07395	1.9388	13.63467
1660	-7522.412	-7443.527	-78.88505	2.107677	0.305798	0.665996	1.07246	1.95574	13.24
1670	-7533.575	-7442.591	-90.98443	2.194521	0.315439	0.674223	1.07417	1.93616	14.44125
1680	-7524.482	-7437.269	-87.21343	1.970054	0.289674	0.651791	1.06922	1.98931	14.0866
1690	-7524.43	-7441.703	-82.72648	2.184882	0.314388	0.673336	1.074	1.93828	13.61642
1700	-7540.57	-7452.805	-87.76525	2.047979	0.298936	0.660021	1.07115	1.9699	14.13399
1710	-7542.523	-7463.084	-79.43861	1.70044	0.254693	0.618842	1.06031	2.06616	13.33607
1720	-7530.114	-7432.186	-97.92813	1.75238	0.261812	0.625804	1.06235	2.05003	15.17983
1730	-7527.815	-7442.264	-85.55093	1.678115	0.251573	0.615748	1.05937	2.07331	13.94954
1740	-7526.435	-7437.201	-89.23364	1.938197	0.285784	0.648277	1.06836	1.99758	14.2918
