Starting job 16490015 on c5-60 on Saga at Wed Dec 24 11:43:09 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UCLN_rhinos.Rev"
   Processing of file "scripts/model_UCLN_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 422 different moves in a random move schedule with 527 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
4250        |       -56728.4   |       -56477.8   |       -250.647   |   01:53:04   |   352:50:04   |
4300        |       -56741.7   |       -56471.7   |        -270.03   |   01:54:35   |   353:23:14   |
4350        |       -56724.6   |       -56482.6   |       -241.988   |   01:56:00   |   353:37:20   |
4400        |       -56714.9   |       -56476.4   |       -238.511   |   01:57:23   |   353:45:02   |
4450        |       -56717.7   |       -56490.4   |       -227.323   |   01:58:49   |   354:01:28   |
4500        |       -56732.6   |       -56476.5   |       -256.076   |   02:00:16   |   354:20:28   |
4550        |       -56731.5   |       -56481.9   |       -249.538   |   02:01:42   |   354:36:06   |
4600        |       -56718.5   |       -56465.7   |       -252.732   |   02:03:06   |   354:45:35   |
4650        |         -56795   |       -56488.8   |       -306.269   |   02:04:31   |   354:57:42   |
4700        |       -56760.4   |       -56469.3   |       -291.056   |   02:05:53   |   355:01:04   |
4750        |       -56719.7   |       -56478.3   |       -241.322   |   02:07:15   |   355:04:19   |
4800        |       -56704.2   |       -56455.1   |       -249.089   |   02:08:39   |   355:13:01   |
4850        |       -56752.6   |       -56476.7   |       -275.892   |   02:10:03   |   355:21:29   |
4900        |       -56758.9   |       -56481.6   |       -277.293   |   02:11:27   |   355:29:46   |
4950        |       -56781.3   |       -56481.8   |       -299.497   |   02:12:56   |   355:51:14   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
5000        |       -56724.8   |       -56484.6   |       -240.238   |   02:14:24   |   356:09:36   |
5050        |       -56732.2   |       -56480.7   |       -251.507   |   02:15:46   |   356:11:49   |
5100        |       -56714.8   |       -56478.9   |        -235.88   |   02:17:08   |   356:13:58   |
5150        |       -56764.5   |       -56488.4   |       -276.166   |   02:18:32   |   356:21:12   |
5200        |       -56716.7   |       -56482.5   |       -234.251   |   02:19:53   |   356:20:37   |
5250        |       -56755.1   |       -56476.2   |       -278.916   |   02:21:22   |   356:40:13   |
5300        |       -56701.5   |       -56464.5   |       -237.048   |   02:22:54   |   357:06:54   |
5350        |       -56728.2   |       -56465.7   |       -262.474   |   02:24:26   |   357:33:04   |
5400        |       -56726.1   |       -56488.8   |       -237.351   |   02:25:53   |   357:46:27   |
5450        |       -56741.9   |         -56476   |       -265.908   |   02:27:18   |   357:54:43   |
5500        |       -56737.2   |       -56487.8   |       -249.443   |   02:28:45   |   358:07:36   |
5550        |       -56716.9   |       -56486.6   |       -230.351   |   02:30:13   |   358:22:38   |
5600        |       -56746.2   |       -56479.4   |       -266.758   |   02:31:41   |   358:37:21   |
5650        |       -56738.5   |       -56483.9   |       -254.624   |   02:33:14   |   359:03:31   |
5700        |       -56758.2   |         -56493   |       -265.223   |   02:34:46   |   359:26:52   |
5750        |       -56784.1   |       -56478.4   |       -305.773   |   02:36:14   |   359:40:34   |
5800        |       -56755.8   |       -56488.4   |       -267.465   |   02:37:41   |   359:51:44   |
5850        |         -56759   |       -56478.9   |       -280.123   |   02:39:09   |   360:04:57   |
5900        |       -56745.1   |       -56471.1   |       -274.061   |   02:40:38   |   360:20:09   |
5950        |       -56707.7   |       -56474.8   |        -232.97   |   02:42:01   |   360:21:44   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
6000        |       -56745.7   |       -56477.6   |       -268.099   |   02:43:25   |   360:25:28   |
6050        |         -56738   |       -56480.3   |       -257.677   |   02:44:50   |   360:31:18   |
6100        |       -56728.7   |       -56477.9   |        -250.86   |   02:46:19   |   360:45:42   |
6150        |       -56733.4   |       -56484.6   |       -248.776   |   02:47:45   |   360:53:23   |
6200        |       -56755.2   |       -56484.3   |       -270.885   |   02:49:16   |   361:11:35   |
6250        |       -56737.3   |       -56492.2   |       -245.094   |   02:50:43   |   361:21:01   |
6300        |       -56734.1   |       -56480.1   |        -254.02   |   02:52:13   |   361:36:33   |
6350        |       -56720.7   |         -56482   |       -238.735   |   02:53:42   |   361:49:45   |
6400        |       -56691.8   |       -56489.4   |        -202.41   |   02:55:09   |   361:58:36   |
6450        |         -56722   |       -56507.9   |       -214.124   |   02:56:39   |   362:13:25   |
6500        |       -56755.8   |       -56477.1   |       -278.697   |   02:58:07   |   362:23:56   |
6550        |       -56738.3   |       -56471.3   |       -267.032   |   02:59:34   |   362:32:14   |
6600        |         -56737   |       -56485.3   |       -251.759   |   03:01:02   |   362:42:24   |
6650        |       -56749.4   |       -56488.3   |       -261.168   |   03:02:26   |   362:44:26   |
6700        |       -56787.4   |         -56493   |       -294.376   |   03:03:51   |   362:48:23   |
6750        |       -56779.2   |       -56496.5   |       -282.681   |   03:05:18   |   362:56:10   |
6800        |       -56738.4   |       -56476.3   |       -262.083   |   03:06:55   |   363:23:16   |
6850        |       -56719.1   |       -56467.3   |       -251.887   |   03:08:32   |   363:49:57   |
6900        |       -56698.5   |       -56470.7   |       -227.753   |   03:10:02   |   364:02:49   |
6950        |       -56719.6   |         -56482   |       -237.593   |   03:11:30   |   364:11:39   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
7000        |       -56722.9   |       -56476.8   |        -246.07   |   03:12:56   |   364:16:35   |
7050        |       -56772.2   |       -56478.1   |       -294.065   |   03:14:29   |   364:34:32   |
7100        |       -56740.2   |       -56490.6   |       -249.641   |   03:16:02   |   364:52:13   |
7150        |       -56711.8   |         -56493   |       -218.825   |   03:17:32   |   365:04:05   |
7200        |       -56748.9   |       -56485.3   |       -263.596   |   03:19:00   |   365:12:06   |
7250        |       -56738.3   |       -56485.1   |       -253.145   |   03:20:28   |   365:19:59   |
7300        |       -56792.4   |       -56479.9   |       -312.459   |   03:21:59   |   365:33:10   |
7350        |       -56748.6   |       -56501.5   |       -247.154   |   03:23:33   |   365:51:33   |
7400        |         -56755   |       -56485.2   |       -269.711   |   03:25:03   |   366:02:31   |
7450        |       -56720.6   |       -56491.4   |       -229.166   |   03:26:33   |   366:13:18   |
7500        |       -56732.1   |       -56477.1   |       -254.929   |   03:28:05   |   366:27:28   |
7550        |       -56728.5   |       -56489.4   |       -239.066   |   03:29:37   |   366:41:25   |
7600        |       -56745.2   |       -56488.4   |       -256.832   |   03:31:12   |   367:00:22   |
7650        |       -56718.4   |       -56478.5   |       -239.938   |   03:32:47   |   367:19:04   |
7700        |         -56766   |       -56480.6   |       -285.342   |   03:34:25   |   367:42:38   |
7750        |       -56719.4   |       -56477.9   |       -241.498   |   03:35:58   |   367:57:22   |
7800        |       -56728.1   |       -56493.5   |       -234.604   |   03:37:30   |   368:10:11   |
7850        |         -56775   |       -56491.9   |       -283.102   |   03:39:03   |   368:24:31   |
7900        |       -56700.3   |       -56493.1   |       -207.149   |   03:40:42   |   368:48:40   |
7950        |       -56703.3   |       -56486.9   |       -216.476   |   03:42:16   |   369:04:11   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
8000        |         -56739   |       -56486.7   |       -252.356   |   03:43:50   |   369:19:30   |
