Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
2550	-57077.13	-56458.69	-618.4482	0.125006	0.131951	0.0826374	3.45357	1.645591	0.02441795	0.01571705	0.004525008	0.393048	0	64.45591	0.315727	0.343051	0.747125	0.058935	0.02616208	0.246962	0.611123	1.05794	2.08398	0.397573	0.9886184
2600	-57091.04	-56473.98	-617.0549	0.140962	0.133029	0.0904839	2.76651	1.477658	0.02765674	0.01605724	-0.04402988	0.4113486	0	55.68127	0.332066	0.335069	0.762742	0.0369485	0.0299993	0.221851	0.584795	1.04908	2.14427	0.3673187	1.119868
2650	-57083.62	-56466.65	-616.969	0.128103	0.119456	0.084456	2.80477	1.5853	0.02502968	0.01650897	0.01878085	0.4351177	0	59.66775	0.307935	0.3284	0.767314	0.0472986	0.02761748	0.238204	0.602165	1.05506	2.10457	0.4538985	0.9586232
2700	-57090.69	-56475.37	-615.3174	0.119434	0.124051	0.0833918	3.13042	1.620862	0.02503094	0.01620773	-0.03084167	0.3871027	1	56.6843	0.266964	0.319677	0.735838	0.056834	0.02976009	0.243404	0.607511	1.0568	2.09229	0.356261	1.08657
2750	-57089.15	-56469.55	-619.5989	0.128627	0.136409	0.084054	3.18188	1.729662	0.02664454	0.01619034	-0.004439452	0.3541933	0	56.90868	0.261744	0.330211	0.731249	0.0550952	0.02487127	0.258722	0.622799	1.06148	2.057	0.3497539	1.012693
2800	-57074.39	-56455.34	-619.0494	0.119485	0.143592	0.0844315	2.45329	1.819066	0.02511251	0.01596608	0.008979078	0.310469	0	61.11999	0.278404	0.374108	0.758823	0.0474032	0.03699958	0.270676	0.634283	1.06472	2.03032	0.319448	0.9718919
2850	-57087.73	-56471.86	-615.8695	0.121553	0.221911	0.0852214	2.92022	2.123684	0.02554787	0.01640843	0.008983129	0.3818405	1	60.91729	0.258894	0.499849	0.754272	0.0461966	0.02529209	0.307605	0.667553	1.0728	1.95204	0.3908237	0.9770149
2900	-57074.85	-56460.91	-613.9434	0.131873	0.187339	0.0841421	2.57381	1.87079	0.02763432	0.01694276	0.01941806	0.3235791	0	55.22784	0.322684	0.445818	0.738631	0.0438097	0.02652002	0.277347	0.640531	1.06639	2.01573	0.3429972	0.9433871
2950	-57081.4	-56464.98	-616.4211	0.126365	0.137652	0.0883402	2.82568	1.902467	0.0251662	0.01669175	-0.002637727	0.3691261	0	62.65782	0.263022	0.359194	0.750647	0.0521064	0.03402624	0.281347	0.644225	1.06735	2.00708	0.3664884	1.007197
3000	-57074.03	-56457.21	-616.8286	0.124399	0.134166	0.0917243	2.51417	1.917603	0.02629055	0.01725915	0.008397766	0.5712678	0	58.74823	0.283484	0.371828	0.739118	0.0511668	0.0234604	0.283236	0.645956	1.06778	2.00302	0.5796655	0.9855127
